occupation,count,corrected_occupation
No Employment Dividends,2,No Employment Dividends
Apprentice to Tailmaker,2,Apprentice to Tailmaker
Retd Bank Manager,2,Retd Bank Manager
Spirit Merchants Daughter,2,Spirit Merchants Daughter
Boiler Plater,2,Boiler Plater
Servant Far,2,Servant Far
Farmer G son,2,Farmer G son
Oyster Watchman,2,Oyster Watchman
Wool Knotter in Factory,2,Wool Knotter in Factory
Gas fitter,2,Gas fitter
Fisher's Son,2,Fisher's Son
Hosewife,2,Hosewife
House Maid D Sert,2,House Maid D Sert
House from School,2,House from School
Yarn Bundler in Linen Factory,2,Yarn Bundler in Linen Factory
Commercial Clerk Cycle,2,Commercial Clerk Cycle
Eggs and Wool Dealer,2,Eggs and Wool Dealer
Laundry Maid D.S,2,Laundry Maid D.S
Lady (Annuity),2,Lady Annuity
Living on Income ? from Houses,2,Living on Income ? from Houses
Gordener,2,Gordener
Bank Porter Domestic,2,Bank Porter Domestic
Barrister-at-Law,2,Barrister at Law
Solicitor (Practising),2,Solicitor Practising
Pensioner (R.I.C.),2,R.I.C. Pensioner
Wood Vanger,2,Wood Vanger
"Tanner, and Wool Merchant",2,"Tanner, and Wool Merchant"
Prof of Mathern,2,Prof of Mathern
Caretacker,2,Caretacker
Postmaster Wife,2,Postmaster Wife
Spirit and Purraw Dealer,2,Spirit and Purraw Dealer
Knitting Room in Convent (Stocking Making),2,Knitting Room in Convent Stocking Making
N.S.Pupil,2,N.S.Pupil
Teachers Dgtr,2,Teachers Dgtr
Grocer (Manager),2,Grocer Manager
Ice Cream Merchant,2,Ice Cream Merchant
Rivet Heater in Ship Yard,2,Rivet Heater in Ship Yard
House Keeping No Occupation,2,House Keeping No Occupation
Undergraduate J.C.D.,2,Undergraduate J.C.D.
Willow Com Colling,2,Willow Com Colling
Wife of Constable (R.I.C),2,Wife of Constable R.I.C
Domestic (Parlour Maid),2,Domestic Parlour Maid
Captain A S C,2,Captain A S C
Farm Conductor,2,Farm Conductor
Labourers Dock,2,Labourers Dock
Servant Waitress,2,Servant Waitress
Shoemaker and Pensioner,2,Shoemaker and Pensioner
Railway Gaper,2,Railway Gaper
General Servant Washerwoman,2,General Servant Washerwoman
Assistant a Linen Stock Room,2,Assistant a Linen Stock Room
Assisting at Office,2,Assisting at Office
Woolen Mill Factory Land,2,Woolen Mill Factory Land
Retired N. T.,2,Retired N. T.
Lacer,2,Lacer
Mussican,2,Mussican
Stillroomaid,2,Stillroomaid
Crotchet Knitter,2,Crotchet Knitter
Engine Fitter Foundry,2,Engine Fitter Foundry
Cottage Farmer,2,Cottage Farmer
Linen-Ornamenter,2,Linen Ornamenter
F Labourer's Daughter,2,F Labourer's Daughter
F Labourer's Wife,2,F Labourer's Wife
Handkerchief Ornamentar,2,Handkerchief Ornamentar
Artisan Wellsinke,2,Artisan Wellsinke
Machine Fitter in Shipyard,2,Machine Fitter in Shipyard
Grocery and Spirit Dealer,2,Grocery and Spirit Dealer
Spinner Linnen Factory,2,Spinner Linnen Factory
Engine Turner at Works,2,Engine Turner at Works
Retired Housekeeper Domestic Servant,2,Retired Housekeeper Domestic Servant
Dary Labourer,2,Dary Labourer
Ex Sergt R.I.C Pensioner,2,Ex Sergt R.I.C Pensioner
Laundress in Warehouse,2,Laundress in Warehouse
Clerk in Bond Store,2,Clerk in Bond Store
Stocking Legger,2,Stocking Legger
Dealer Wares,2,Dealer Wares
? Porter,2,? Porter
Messenger in News Paper Office,2,Messenger in News Paper Office
Daler Vegetable,2,Daler Vegetable
Shop Assistant (Draper's),2,Shop Assistant Draper's
Contractor Agent,2,Contractor Agent
Assistant in Farming,2,Assistant in Farming
N School-Teacher Unemployed,2,N School Teacher Unemployed
Dairy-Maid Domestic,2,Dairy Maid Domestic
Fish Mongers,2,Fish Mongers
Clerk-Office,2,Clerk Office
Engine Driver Brick Works,2,Engine Driver Brick Works
Farmers Son and Road Maker,2,Farmers Son and Road Maker
Teacher on Training,2,Teacher on Training
Ladoress,2,Ladoress
Houseservants,2,Houseservants
Reed maker,2,Reed maker
Labourer in Falt Works,2,Labourer in Falt Works
Shirt Factory Machinist,2,Shirt Factory Machinist
Engine Fitter at Pottery Works,2,Engine Fitter at Pottery Works
Instructes at Home,2,Instructes at Home
Pensioner-Teacher,2,Pensioner Teacher
Rivett Heater Rivet Boy,2,Rivett Heater Rivet Boy
Magistrate Daughter,2,Magistrate Daughter
Gardner Assistant,2,Gardner Assistant
Servant Milk Factory,2,Servant Milk Factory
Victualeer,2,Victualeer
Yard Boy Domestic,2,Yard Boy Domestic
Grl Servant,2,Grl Servant
Aprentice Horse Shoer,2,Aprentice Horse Shoer
Grocers Poter,2,Grocers Poter
Commercial Traveller for Bacon and Farmer,2,Commercial Traveller for Bacon and Farmer
Ingin Driver,2,Ingin Driver
Coding House Keeper,2,Coding House Keeper
Inspector N Schools,2,Inspector N Schools
Genal Servant,2,Genal Servant
Boot and Shoe Manufacture,2,Boot and Shoe Manufacture
Porter - Shop,2,Porter Shop
Money at Interest,2,Money at Interest
Labourer in Brickworker,2,Labourer in Brickworker
Assistant in Laundry,2,Assistant in Laundry
Assistant S L Mistress,2,Assistant S L Mistress
Lincensed H Car Driver,2,Lincensed H Car Driver
Buisness Worker in Collar Factory,2,Buisness Worker in Collar Factory
Surface - Man,2,Surface Man
Coal Parter,2,Coal Parter
Messenger Servant Domestic,2,Messenger Servant Domestic
Attending School None,2,Attending School None
Agril Lobouer,2,Agril Lobouer
Insurance Porter,2,Insurance Porter
Labour Saw Mills,2,Labour Saw Mills
Engine Fire Man,2,Engine Fire Man
Assistant Shopboy,2,Assistant Shopboy
Poor-Rate Collector,2,Poor Rate Collector
Trained Nurse Unemployed,2,Trained Nurse Unemployed
Pensioner Ex. Sergt. R. I. Consty.,2,Pensioner Ex. Sergt. R. I. Consty.
Scholacter,2,Scholacter
Factory Weavers,2,Factory Weavers
House-Domestic Servant,2,House Domestic Servant
Brush Manufacture,2,Brush Manufacture
Clerk Railway Clearing House,2,Clerk Railway Clearing House
Letter Caryier,2,Letter Caryier
G Farm Work,2,G Farm Work
Income from Land and House,2,Income from Land and House
Railway Millerman,2,Railway Millerman
Waiter-Domestic Ser,2,Waiter Domestic Ser
Knitter of Woollen Socks,2,Knitter of Woollen Socks
Farme Labour,2,Farme Labour
Watchmaker Practical,2,Watchmaker Practical
Caretaker Drapery Establishment,2,Caretaker Drapery Establishment
Blksmith,2,Blksmith
Malster in Brewery,2,Malster in Brewery
Coach Painter at Ry Works,2,Coach Painter at Ry Works
Miner (Lead),2,Miner Lead
Labourer at Railway Works,2,Labourer at Railway Works
Warp Winder Linen Factory,2,Warp Winder Linen Factory
Constable in Royal Irish Constabulary,2,Constable in Royal Irish Constabulary
Sergts Wife 18th R I Regt,2,Sergts Wife 18th R I Regt
Under Butler Domestic Servant,2,Under Butler Domestic Servant
Explosive Worker,2,Explosive Worker
(Winder in Linen Factory),2,Winder in Linen Factory
Betling Engineman,2,Betling Engineman
Road and Building Contractor,2,Road and Building Contractor
Plougman,2,Plougman
General and Labourer,2,General and Labourer
Van Diver,2,Van Diver
Clerk Ship Building,2,Clerk Ship Building
Ex H.C. R.I.C,2,Ex H.C. R.I.C
Patent Turner in Shirt Factory,2,Patent Turner in Shirt Factory
Looking after Family,2,Looking after Family
Granite Stone Dresser,2,Granite Stone Dresser
School Teacher-Retired,2,School Teacher Retired
Granite Dressers,2,Granite Dressers
Tailor'sdaughter,2,Tailor'sdaughter
Linesman on Railway,2,Linesman on Railway
Pantry Maid Domestic Servant,2,Pantry Maid Domestic Servant
Genl Svt. Domestic,2,Genl Svt. Domestic
Calico Machine Printer,2,Calico Machine Printer
Fruit-Vendor,2,Fruit Vendor
Retired Porter,2,Retired Porter
Linen Thread Manufactures,2,Linen Thread Manufactures
Hotel Waiteress,2,Hotel Waiteress
None business,2,None business
Shop Assistant (Boot),2,Shop Assistant Boot
Machineist at Works,2,Machineist at Works
Teacher (Infant School),2,Teacher Infant School
Labourer-Quarry Man,2,Labourer Quarry Man
Hotel Keeper Draper,2,Hotel Keeper Draper
Apprentice in Mill,2,Apprentice in Mill
Laundress Washer,2,Laundress Washer
Seamstress Linen,2,Seamstress Linen
Dealer's Daughter,2,Dealer's Daughter
Loch Keeper Royal Canal,2,Loch Keeper Royal Canal
Grocer Servant,2,Grocer Servant
Provision and Grocery,2,Provision and Grocery
Agricultural Laburs,2,Agricultural Laburs
Working in Store,2,Working in Store
Shop Herkrate,2,Shop Herkrate
Merchant Tailors Book Keeper,2,Merchant Tailors Book Keeper
Shipbuilder's Labourer,2,Shipbuilder's Labourer
Coast Guard-Boatman,2,Coast Guard Boatman
Clothes Sewer,2,Clothes Sewer
Commercial Wine and Spirits,2,Commercial Wine and Spirits
School Scolar,2,School Scolar
Gram Labour,2,Gram Labour
Kerry County Council Clerk,2,Kerry County Council Clerk
Servant (Messenger),2,Servant Messenger
General Servant-Domst,2,General Servant Domst
Catholic(R) Priest,2,CatholicR Priest
Income from Dividends etc,2,Income from Dividends etc
Prentice,2,Prentice
Delgh Dealer,2,Delgh Dealer
Body Maker Coach,2,Body Maker Coach
Ag Labouer,2,Ag Labouer
Pensioner (Teacher),2,Pensioner Teacher
P.O. Rural Messenger,2,P.O. Rural Messenger
Cook and Dairy Maid,2,Cook and Dairy Maid
Hawker Dealer,2,Hawker Dealer
Schorars,2,Schorars
H-Folder,2,H Folder
Clerk in Shipping Officer,2,Clerk in Shipping Officer
Irion Ship Wright,2,Irion Ship Wright
Rope Spinner in Rope Factory,2,Rope Spinner in Rope Factory
Tobocco Spinner,2,Tobocco Spinner
Helping in Farm,2,Helping in Farm
None (P),2,None P
Apprentice Electrician Plumber,2,Apprentice Electrician Plumber
Commercial Traveller (Brewery),2,Commercial Traveller Brewery
Tallow Chandler,2,Tallow Chandler
Clerk in Law Office,2,Clerk in Law Office
Sanitary Pipe Layer,2,Sanitary Pipe Layer
No Occupn,2,No Occupn
Sol Clerk,2,Sol Clerk
Shipwright and Boat Builder,2,Shipwright and Boat Builder
Smith Helper GSWR,2,Smith Helper GSWR
Shipwright Assistant,2,Shipwright Assistant
Egg Expert,2,Egg Expert
General Cardriver,2,General Cardriver
Store Dresser,2,Store Dresser
Accountant and Publican,2,Accountant and Publican
No Occupation Inmates of Fanning's Institution,2,No Occupation Inmates of Fanning's Institution
Child of Gate Porter,2,Child of Gate Porter
Domestic House Worker,2,Domestic House Worker
Clarkess in Distillery,2,Clarkess in Distillery
Flour Commen Agent,2,Flour Commen Agent
Clerk (Builder's),2,Clerk Builder's
Flowering Linens,2,Flowering Linens
Assistant Flax Mill Manager,2,Assistant Flax Mill Manager
Farmere Daughter,2,Farmere Daughter
Farmers-Widow,2,Farmer's Widow
Merchant (Provision),2,Merchant Provision
G Clerk,2,G Clerk
Constabulay Pensioner,2,Constabulay Pensioner
Com. Traveller Wine and Spirits,2,Com. Traveller Wine and Spirits
Preparing R Worker,2,Preparing R Worker
Mineral Water Tyer,2,Mineral Water Tyer
Employe Tobacco Factory,2,Employe Tobacco Factory
Trade Painter,2,Trade Painter
Elevator Driver,2,Elevator Driver
House Propritor,2,House Propritor
High St School,2,High St School
Farmer and Factor,2,Farmer and Factor
Magistrates,2,Magistrates
Attendend School,2,Attendend School
Rabbitt Merchant,2,Rabbitt Merchant
Apprente Carpenter,2,Apprente Carpenter
Chinney Sweep,2,Chinney Sweep
Spinner Doffer Millworker,2,Spinner Doffer Millworker
Pawnbroker and Farmer,2,Pawnbroker and Farmer
Fitter at Gas Works,2,Fitter at Gas Works
Telegraph Carner,2,Telegraph Carner
Shephard Son,2,Shephard Son
Wine Spirit Grocer Merchant,2,Wine Spirit Grocer Merchant
Ships Draughtsman,2,Ships Draughtsman
Income Derived From Devidends,2,Income Derived From Devidends
Linnen Weavier,2,Linnen Weavier
General Merchant and J P,2,General Merchant and J P
Carpenter (Aprentice),2,Carpenter Aprentice
Asst School Mrtss,2,Asst School Mrtss
Envalope Maker,2,Envalope Maker
Distiller's Labourer,2,Distiller's Labourer
Saddle Tree Maker,2,Saddle Tree Maker
Butchers Servant,2,Butchers Servant
Infirmary Nurse (Nun),2,Infirmary Nurse Nun
Fitter in Smith Works,2,Fitter in Smith Works
Postmistress and Draper,2,Postmistress and Draper
Cook Domestic Se,2,Cook Domestic Se
Cable Operator,2,Cable Operator
Acrobat,2,Acrobat
Charwoman and Domestic Servant,2,Charwoman and Domestic Servant
Gamble,2,Gamble
Dealer in Sweets in Street,2,Dealer in Sweets in Street
Factry Worker,2,Factry Worker
Dressmaker Aprentice,2,Dressmaker Aprentice
Teacher (N. Sch.),2,Teacher N. Sch.
Tobbing Gardner,2,Tobbing Gardner
Agriculte Labourer,2,Agriculte Labourer
Sorting Clerk GPO,2,Sorting Clerk GPO
Shoe-Makers,2,Shoe Makers
Jobmaster,2,Jobmaster
Assisant Gardener,2,Assisant Gardener
Not Going to Chool,2,Not Going to Chool
Servt General,2,Servt General
Folding,2,Folding
Tailor Journey Man,2,Tailor Journey Man
Cattle,2,Cattle
Yarn Reeler in Flax Mill,2,Yarn Reeler in Flax Mill
Child With Nurse,2,Child With Nurse
Farmer Daughter Sr at Sl,2,Farmer Daughter Sr at Sl
Factory - Hand-Creamery,2,Factory Hand Creamery
Grocer and Butler Mercht,2,Grocer and Butler Mercht
Box and Packing Case Maker,2,Box and Packing Case Maker
Biscut Packing,2,Biscut Packing
General Domestic Servant-Unemployed,2,General Domestic Servant Unemployed
Masseur,2,Masseur
Snuff Maker,2,Snuff Maker
General Draper and House Furnisher,2,General Draper and House Furnisher
Cloth Passer Linen Factory,2,Cloth Passer Linen Factory
Dressmaker and Sales,2,Dressmaker and Sales
Nailor and Farmer,2,Nailor and Farmer
Militia Man and Labourer,2,Militia Man and Labourer
Tailoring Apprentice,2,Tailoring Apprentice
Warerom Worker,2,Warerom Worker
Gardener Maid Domestic Servt,2,Gardener Maid Domestic Servt
Factory Poper Ruler,2,Factory Poper Ruler
Postmaster-Post Office,2,Postmaster Post Office
Retired farmer,2,Retired farmer
Agricul Farmer,2,Agricul Farmer
Labourer-Retired,2,Labourer Retired
Postmaster and Tailor,2,Postmaster and Tailor
Cook Dc Servant,2,Cook Dc Servant
A Labourer Agr,2,A Labourer Agr
Dairy-Assistant Domestic-Servant,2,Dairy Assistant Domestic Servant
(Nurse),2,Nurse
Clergyman (C.C.),2,Clergyman C.C.
Railway Servants Wife,2,Railway Servants Wife
Factory Girls in Creamery,2,Factory Girls in Creamery
Ship Building,2,Ship Building
Linnen Smoother,2,Linnen Smoother
Genl.Servant,2,Genl.Servant
Marine Superintendent,2,Marine Superintendent
Corporation General Labourer,2,Corporation General Labourer
Coach Wheller,2,Coach Wheller
Provision Man,2,Provision Man
Private Boarding House,2,Private Boarding House
No Profession or Occupation Income derived from Houses,2,No Profession or Occupation Income derived from Houses
Railway agent,2,Railway agent
Service Clerk,2,Service Clerk
Sealar,2,Sealar
Night Wachman,2,Night Wachman
P. Maid Domestic Servant,2,P. Maid Domestic Servant
Coal Merchant and Ship Owner,2,Coal Merchant and Ship Owner
Private Lady Interest on Money,2,Private Lady Interest on Money
Home Laundress,2,Home Laundress
House Dutys,2,House Dutys
Ar Labourer,2,Ar Labourer
Cottier Housekeeper,2,Cottier Housekeeper
General Servant DS,2,General Servant DS
B.A.J.C.D.,2,B.A.J.C.D.
Butler in Factory,2,Butler in Factory
Tobaco Stripper,2,Tobaco Stripper
Retired Slater,2,Retired Slater
Income Derived from Dividents,2,Income Derived from Dividents
Farmer's Son P.S.R,2,Farmer's Son P.S.R
Yarn Rover in Flax Mill,2,Yarn Rover in Flax Mill
Pensioner R.J.C.,2,Pensioner R.J.C.
Shopkeeper-Public House and Drapery,2,Shopkeeper Public House and Drapery
Assisting at House Keeping,2,Assisting at House Keeping
Painter Contractor,2,Painter Contractor
Warehouse-Man,2,Warehouse Man
Law Clerks,2,Law Clerks
Stick Maker,2,Stick Maker
Coast Guard Btm,2,Coast Guard Btm
Labourer in Malthouse,2,Labourer in Malthouse
Mason (Unemployed),2,Mason Unemployed
Managing Clerk Coal Merchants,2,Managing Clerk Coal Merchants
No Occupation House Holder,2,No Occupation House Holder
Farmer Grandaugh,2,Farmer Grandaugh
Charwonan,2,Charwonan
Office Housekeeper,2,Office Housekeeper
Labourer infoundry,2,Labourer infoundry
Fruit and Vegetable Shop Assistant,2,Fruit and Vegetable Shop Assistant
Tailor-Coat Maker,2,Tailor Coat Maker
Rellers,2,Rellers
Linder Winder,2,Linder Winder
Shop and Farm Assistant,2,Shop and Farm Assistant
Yarn Mill Worker,2,Yarn Mill Worker
Yarn Bundle,2,Yarn Bundle
Agr Lab Wife,2,Agr Lab Wife
Butler-Domestic Servt,2,Butler Domestic Servt
Laboerer,2,Laboerer
Pensioner Light Keeper,2,Pensioner Light Keeper
Housekeeper Domestc Servt.,2,Housekeeper Domestc Servt.
Shoe Closer,2,Shoe Closer
Commercial Apprentice,2,Commercial Apprentice
Docklabourer,2,Docklabourer
Farmers Grand Son-in-Law,2,Farmers Grand Son in Law
Butler Dom Ser,2,Butler Dom Ser
Agricultere Labor,2,Agricultere Labor
Pensioner Ric and Constabuly,2,Pensioner Ric and Constabuly
Bank clerk,2,Bank clerk
Sick Manufacturer,2,Sick Manufacturer
Inc. from Houses and Dividends,2,Inc. from Houses and Dividends
Hacklemaking,2,Hacklemaking
Shipward Labourer,2,Shipward Labourer
Dome Servant Unemployed,2,Dome Servant Unemployed
Private 17th Lancers,2,Private 17th Lancers
Can Boy in Mill,2,Can Boy in Mill
Tobaccanist Assistant,2,Tobaccanist Assistant
Confectionery Packer,2,Confectionery Packer
Gas Clerk,2,Gas Clerk
Van Porter,2,Van Porter
Laundrymaid Dom Svt,2,Laundrymaid Dom Svt
Pilot Sailor,2,Pilot Sailor
Not Necessary School,2,Not Necessary School
Wholesale Drapers Apprentice,2,Wholesale Drapers Apprentice
Sea Faring Man,2,Sea Faring Man
Agr. Servant,2,Agr. Servant
Living on Dividend,2,Living on Dividend
Born Porter,2,Born Porter
Pensioner from Asylum,2,Pensioner from Asylum
Messenger-Shop,2,Messenger Shop
Dealer in Fruite,2,Dealer in Fruite
Scullery Maid-Domestic,2,Scullery Maid Domestic
Coaper,2,Coaper
Deriving Income from Land and House,2,Deriving Income from Land and House
Sergeant Royal Engineer,2,Sergeant Royal Engineer
Commercial Clerk Destillery,2,Commercial Clerk Destillery
"Quartermaster S.S. ""Tearaght""",2,"Quartermaster S.S. ""Tearaght"""
Bar Man Public House,2,Bar Man Public House
Genral Dealer,2,Genral Dealer
Tread Tailor,2,Tread Tailor
County Sewer,2,County Sewer
Bundling Master,2,Bundling Master
Servant-House Maid,2,Servant House Maid
Whip Maker-Assistant,2,Whip Maker Assistant
Carpenter on Unemployed,2,Carpenter on Unemployed
Winder Cotten,2,Winder Cotten
Factory Worker Machine Boy,2,Factory Worker Machine Boy
Sorter in G.P.O.,2,Sorter in G.P.O.
Machinest in Boot Factory,2,Machinest in Boot Factory
Medical Practitioner and Apothecary,2,Medical Practitioner and Apothecary
Shipyard Helper,2,Shipyard Helper
Commercial Clerk Stock Broker,2,Commercial Clerk Stock Broker
General Servant Domestic Ser,2,General Servant Domestic Ser
Brewery Car Men,2,Brewery Car Men
Band Master Army Pensioner,2,Band Master Army Pensioner
Parochial School Teacher,2,Parochial School Teacher
Rg Dealer,2,Rg Dealer
G P Office,2,G P Office
Public Business,2,Public Business
Shop Keeper (Confectionery),2,Shop Keeper Confectionery
Infantitine,2,Infantitine
Labours Agricultural,2,Labours Agricultural
H. Painter,2,H. Painter
Caretaker Cemetery,2,Caretaker Cemetery
Electric Jointer,2,Electric Jointer
Apprentice Eng in Works,2,Apprentice Eng in Works
Folder of Handkerchief,2,Folder of Handkerchief
Woolen Commercial Traveller,2,Woolen Commercial Traveller
Shop Keeper (Huckster),2,Shop Keeper Huckster
Yarn Winder (Mill),2,Yarn Winder Mill
Annuitent,2,Annuitent
Frame Man,2,Frame Man
Pensioner National Teacher,2,Pensioner National Teacher
General Searvent Domestic,2,General Searvent Domestic
Machenist Ware Room,2,Machenist Ware Room
Farm Labourer's Widow,2,Farm Labourer's Widow
House Finisher,2,House Finisher
Hotel Waitor,2,Hotel Waitor
Buttonhole Worker,2,Buttonhole Worker
Working Doffer in Mill,2,Working Doffer in Mill
Apprentice to Engineering,2,Apprentice to Engineering
Assistant in Spirit Trade,2,Assistant in Spirit Trade
Examining Officer H.M. Customs,2,Examining Officer H.M. Customs
Clerk Whiskey Store,2,Clerk Whiskey Store
Apprentice Rivitter,2,Apprentice Rivitter
Keeps Home,2,Keeps Home
Machin Boy,2,Machin Boy
Herdess,2,Herdess
Blacher Linen,2,Blacher Linen
Linen Thread Overlooker,2,Linen Thread Overlooker
Touring to Go to School,2,Touring to Go to School
Linen Winder Yarn,2,Linen Winder Yarn
Labourer (Gas Works),2,Labourer Gas Works
Gelatine Worker,2,Gelatine Worker
Clerk Army Pensioner,2,Clerk Army Pensioner
Labourer in Bottle Works,2,Labourer in Bottle Works
Retired Linnen Spinner,2,Retired Linnen Spinner
Shop Keepper,2,Shop Keepper
Tailoring Machinest,2,Tailoring Machinest
Barman Public House,2,Barman Public House
Duffer in Factory,2,Duffer in Factory
Penensioner Royal Horse Artellery,2,Penensioner Royal Horse Artellery
Rent Collecter,2,Rent Collecter
Stone Driller in Quarry,2,Stone Driller in Quarry
Grocer's Daug,2,Grocer's Daug
Cabinetmaker Unemployed,2,Cabinetmaker Unemployed
Grocer and Pension Dealer,2,Grocer and Pension Dealer
Ex Head Con R I C,2,Ex Head Con R I C
Chemist L P S I,2,Chemist L P S I
Servant Cook and General,2,Servant Cook and General
Household Wife,2,Household Wife
Call Labourer,2,Call Labourer
House Keeper Son,2,House Keeper Son
Carriers Foreman,2,Carriers Foreman
Corn Labourers,2,Corn Labourers
Porter in Bond Store,2,Porter in Bond Store
Pensioner R I County,2,Pensioner R I County
Attending School Scollar,2,Attending School Scollar
Wine Bottler,2,Wine Bottler
Water Inspecter,2,Water Inspecter
A Lady's Tailoress,2,A Lady's Tailoress
Waiter a Domestic Servant,2,Waiter a Domestic Servant
Gas Meter Tester,2,Gas Meter Tester
Superannuated Agrl Labourer,2,Superannuated Agrl Labourer
Bricklayer Laborer,2,Bricklayer Laborer
Assurance Agents,2,Assurance Agents
Gerneal Domesit Searvent,2,Gerneal Domesit Searvent
Hall Maid Domestic,2,Hall Maid Domestic
Upholstress Apprentice,2,Upholstress Apprentice
Painter General,2,Painter General
Beetling Engine Man in Dye Mill,2,Beetling Engine Man in Dye Mill
Purveyers and Dairy,2,Purveyers and Dairy
Gardener's Helper,2,Gardener's Helper
Timekeeper in Factory,2,Timekeeper in Factory
Engine Driver in Flour Mills,2,Engine Driver in Flour Mills
Painting Apprentice,2,Painting Apprentice
Lingerie Maker,2,Lingerie Maker
Carpenter - Apprentice,2,Carpenter Apprentice
Drawer-Factory,2,Drawer Factory
Clerk Wholesale Stationery House,2,Clerk Wholesale Stationery House
Grocer's Foreman,2,Grocer's Foreman
Apprentice Whole Lab Drug Oil and Colours,2,Apprentice Whole Lab Drug Oil and Colours
Not at Scool Yet,2,Not at Scool Yet
Out of Employment General Labourer,2,Out of Employment General Labourer
tram conductor,2,tram conductor
Traveller (Grocery),2,Traveller Grocery
Assit Housekeeper,2,Assit Housekeeper
Fitter Shipyard,2,Fitter Shipyard
Book Keeper Grocery,2,Book Keeper Grocery
Burler in Wollen Mill,2,Burler in Wollen Mill
Working Domestic,2,Working Domestic
General Labourer Drayman,2,General Labourer Drayman
Factory Hand Boot,2,Factory Hand Boot
Letting Apartments,2,Letting Apartments
Own House Work,2,Own House Work
Governess Music Only,2,Governess Music Only
House Painting Contractor,2,House Painting Contractor
At Busines in Good Bodies,2,At Busines in Good Bodies
Maltser,2,Maltser
Grocer's Labourer,2,Grocer's Labourer
Sanitary Inspede,2,Sanitary Inspede
Distillar's Labourer,2,Distillar's Labourer
Workhouse Officer,2,Workhouse Officer
Shoemarker,2,Shoemarker
No Occ,2,No Occ
P.O. Messenger,2,P.O. Messenger
Home Domestic Work,2,Home Domestic Work
Scholar Attending school,2,Scholar Attending school
Ladis Tailor,2,Ladis Tailor
Apprentice to Iron Mongery,2,Apprentice to Iron Mongery
The Honble,2,The Honble
Work Daily,2,Work Daily
L Maid Domestic,2,L Maid Domestic
Home Instruction's,2,Home Instruction's
Collector of Poor Rates,2,Collector of Poor Rates
Fire Man in Gas Works,2,Fire Man in Gas Works
Cattar,2,Cattar
Wireman N.Telephone Company,2,Wireman N.Telephone Company
District Inspr R.I.C,2,District Inspr R.I.C
Appearntice Carpenter,2,Appearntice Carpenter
Spinners-Doffer,2,Spinners Doffer
B Labour Genl,2,B Labour Genl
Market Garden,2,Market Garden
Grocers Shop Boy,2,Grocers Shop Boy
Gardner Unemployed,2,Gardner Unemployed
Hackney Car,2,Hackney Car
Minister Church of Ireland,2,Minister Church of Ireland
Constable R J County,2,Constable R J County
House Keeeper,2,House Keeeper
Engineers Machinist,2,Engineers Machinist
General Merchant Wife,2,General Merchant Wife
Retired Farmer's Grand Daughter,2,Retired Farmer's Grand Daughter
Labourer at,2,Labourer at
Domestic Dutties,2,Domestic Dutties
Fire Brigade,2,Fire Brigade
Machine Hand in Wollen Mill,2,Machine Hand in Wollen Mill
Sailor Merchant Shop,2,Sailor Merchant Shop
R.C. Clergyman Curate,2,R.C. Clergyman Curate
Agricultural Laboured,2,Agricultural Laboured
Linen Cloth Folder,2,Linen Cloth Folder
Messenger in Grocer Shop,2,Messenger in Grocer Shop
Fisherman Farm Labourer,2,Fisherman Farm Labourer
Dressmaker's App,2,Dressmaker's App
Ordance Surveyor,2,Ordance Surveyor
A Charge on the Union,2,A Charge on the Union
Dairy Woman's Son,2,Dairy Woman's Son
Net Braider in Factory,2,Net Braider in Factory
Soddler,2,Soddler
Upper House Maid,2,Upper House Maid
Holder Up in Ship Yd,2,Holder Up in Ship Yd
Carpenter Servant,2,Carpenter Servant
Booksellers Porter,2,Booksellers Porter
Porter in Delph Shop,2,Porter in Delph Shop
Schrolar,2,Schrolar
Lodger Owner,2,Lodger Owner
Union Clerk,2,Union Clerk
Coachman Domest Servt,2,Coachman Domest Servt
Coal Winer,2,Coal Winer
Gass Worker,2,Gass Worker
Care Taker Daughter,2,Care Taker Daughter
Ship Carpenter (Master),2,Ship Carpenter Master
Marine Store Assistant,2,Marine Store Assistant
General Servat Domest,2,General Servat Domest
Lunatic's Nurse,2,Lunatic's Nurse
Engineer in Milk Factory,2,Engineer in Milk Factory
Retired-Teacher,2,Retired Teacher
Coachman Groom,2,Coachman Groom
Agl. Laberer,2,Agl. Laberer
Linech,2,Linech
House and Yarm Work,2,House and Yarm Work
Peicer at Spinning Mills,2,Peicer at Spinning Mills
Coronor and Farmer,2,Coronor and Farmer
Engine Driver Stoker,2,Engine Driver Stoker
Gen. Laundress,2,Gen. Laundress
Bed Ridden,2,Bed Ridden
Apprentice Cabnet Maker,2,Apprentice Cabnet Maker
Professional Actor,2,Professional Actor
Labouer in chemical Work,2,Labouer in chemical Work
Hamers Maker,2,Hamers Maker
Neice,2,Neice
Short hand writer,2,Short hand writer
Insurance clerk,2,Insurance clerk
Engine Driver (Locomotive),2,Engine Driver Locomotive
American Pensioner,2,American Pensioner
Motor Man D.U.T.C,2,Motor Man D.U.T.C
Manageress (Hotel),2,Manageress Hotel
General Labourer Woman,2,General Labourer Woman
Trade Black Smith,2,Trade Black Smith
Woolen Manufacturer,2,Woolen Manufacturer
Ass Dealer,2,Ass Dealer
Aprentice to Dress Maker,2,Aprentice to Dress Maker
Tow Corder,2,Tow Corder
Shope Assistant,2,Shope Assistant
General F Labourer,2,General F Labourer
