occupationClaude,count
Private R I A,1
Private R I Rifles,1
Private R M F,1
Private R M Fasiliers,1
Private R M L I R N,1
Private R M L. I. R. N.,1
Private R Marine L I,1
Private R T R,1
Private R. Artilly,1
Private R. E.,1
Private R. I. Fees,1
Private R. Inn P. Fusiliers,1
Private R. Irish Reserve Regt,1
Private R. M. L. I. R. N.,1
Private R.D.F Soldier,1
Private R.F Artillery,1
Private R.I.Fuseliers,1
Private R.I.Fuslrs.,1
Private R.N Reserve Solider,1
Private Regt Army,1
Private Residence,1
Private Retired Mantle Maker,1
Private Rifed Bragaid,1
Private Rifle Brigad,1
Private Rifle Brigade,1
Private Rl Manster Fus,1
Private Roayl. Irish Reserve,1
Private Roy Army Med Corps,1
Private Royal A M. Coysis,1
Private Royal Artillery,1
Private Royal Astillery field Army Pensioner,1
Private Royal Dublin Army Fuseleers,1
Private Royal Dublin Fusileers,1
Private Royal Field Artillery,1
Private Royal Garrison,1
Private Royal Garrison Regiment,1
Private Royal Garrison Regt Labourer,1
Private Royal I Rifles,1
Private Royal I. Rifles,1
Private Royal Irish Finisher,1
Private Royal Irish Fusillers,1
Private Royal Irish Regiment 1st batalion,1
Private Royal Irish Res. Regt.,1
Private Royal Irish Reserve,1
Private Royal Irish Resoner,1
Private Royal Minister Farm,1
Private Royal Minister Farm Discharged,1
Private Royal Rechburn Regiment,1
Private Royal Reserve Soldier of Hurbargh,1
Private Royal garrison regt,1
Private S Inspector,1
Private Sch Teacher,1
Private School,1
Private School Master,1
Private School Master B A,1
Private Secretary Private Income,1
Private Secretary to Lord Lieutanant,1
Private Secretary to Lord Lieutauant Peer,1
Private Secretary to Manager G. Sr. W. Rly.,1
Private Section D Army Reserve North Staffordshire Regiment,1
Private Serving in R.G. Antillery,1
Private Shipwright,1
Private Shopkeeper,1
Private Soldes Royal Garnson Reg,1
Private Soldier 1st Batt. R. D. Fusiliers,1
Private Soldier 27th Ennisky,1
Private Soldier 2nd Bat R D F,1
Private Soldier 2nd Royal Reserve Regt,1
Private Soldier 4th R I Rifles Service ?,1
Private Soldier 5th Royal Irish Rifles,1
Private Soldier Cavby 7th Huss,1
Private Soldier Connaught Rangers,1
Private Soldier Gr R H,1
Private Soldier I?alided,1
Private Soldier Infantory Line,1
Private Soldier Infanty,1
Private Soldier Irish Guard,1
Private Soldier J Fusiliers,1
Private Soldier Linster Rest,1
Private Soldier Liverpool Regiment,1
Private Soldier Pensioned for life Royal Irish Rifles,1
Private Soldier R G Regt,1
Private Soldier R Munster Fusiliers,1
Private Soldier R. I. R,1
Private Soldier R.A.M.Corps,1
Private Soldier R.F. Artillery,1
Private Soldier R.I Fusiliers,1
Private Soldier R.I.R,1
Private Soldier R.I.R 5th Batt,1
Private Soldier R.I.R.,1
Private Soldier R.M. ?,1
Private Soldier Royal Reserve Husrs,1
Private Soldier Royal Reserve Kings Royal Rifles,1
Private Soldier Royal Reserver,1
Private Soldier Wife,1
Private Soldier and Pensioner,1
"Private Soldier in R, Garrison Regt",1
Private Soldier in R.D.F,1
Private Soldier in the Armey Reg. ?,1
Private Soldier in the army,1
Private Soldier on Furlough,1
Private Soldier on Furlow Royal Irish Regiment,1
Private Soldier on Leave Northumberland Fusiliers,1
Private Soldiers Wife Infantry,1
Private Soldiery Royal Service Regt,1
Private Solidier,1
Private Solidier Regs East Lanche?re,1
Private Sollder Munster Fusiliers,1
Private South Down Militia,1
Private South Lane Regt,1
Private Study,1
Private Suscription,1
Private Teacher Elementary,1
Private Teacher Unemployed,1
Private Tuition Scholar,1
Private Tuitions,1
Private Tutor English,1
Private Twister Soldier Scotch,1
Private Waiter,1
Private Warding House Keeper,1
Private West Yorkshire on Furlough Regt,1
Private Woman,1
Private XIII Hussan,1
Private and Hussans,1
Private and Lancaster,1
Private and Rev Lancas Soldier Regt,1
Private from House Property,1
Private gentleman,1
Private in 6th Dragoons,1
Private in 7th Dragoon Guards on Curlough,1
Private in 9th K.R.R,1
Private in Cavetry Soldier,1
Private in Engineers,1
Private in Infantry,1
Private in Militia and General Labourer,1
Private in R.I. Regiment,1
Private in Rifle Bde,1
Private in Royal Garrison Regiment on Furlagh,1
Private in Royal Innis Kelling Fusiliers,1
Private in Royal Irish Fissitiers,1
Private in the 19th Army,1
Private in the 1st Innis Killing Regt.,1
Private in the Dublin Fusilers,1
Private in the West Kent Regt.,1
Private income,1
Private income from Houses and Land,1
Private m?,1
Private man,1
Private mans,1
Private means none occupation,1
Private nurse,1
Private of Milliner,1
Private of Surrey Regt,1
"Private of the 10939 R A M, Corps",1
Private of the Infantry on Fuels Unempolyed General Labourer,1
Private on Army,1
Private property,1
Private secretary to Judge of Irish Lard Comer,1
Private's Wife 18th R I Regt,1
"Private, Army 2nd Batt D Fusilier",1
"Private, Dublin Tailiers",1
"Private, Housekeeper",1
"Private, Living on Annuity",1
"Private, Marine, L.I R. N.",1
"Private, Nil",1
"Private, Royal Garrison Regt",1
"Private, Royal Innistilling Fusiliers",1
PrivateBandsman 4th K.R.R,1
Privater 1st Oxford L. Infantry,1
Privates Machineman,1
Privates Wife 18th R I Reqt,1
Privative Glentlman,1
Priver Lodgings Keeper,1
Privet Lady,1
Privet Leady,1
Privet Lismore 1st in killing ? on sick leave,1
Privet Means,1
Privet R A Artillery,1
Privet R Engineer,1
Privet Royal I R,1
Privis Laboure,1
Privision Dealer,1
Privision Worker,1
Privit ?,1
Privit Sol of R Inn of Inneskellan Fusiler,1
Privite Annunity,1
Privite Dividens,1
Privite Royal Dublin Fusiliers,1
Privite. Draper,1
Privt Soldier on Furbough,1
Privy Counciller,1
Privy Councillor Deputy Lieutenants Justice of the Peace,1
Privy Councilor IP,1
Prnter,1
Pro Manager at Branches of Ulgter Bank Ltd,1
Pro Musicion,1
Pro Singer,1
Pro Store Workers,1
Pro of music,1
Pro. Nurse,1
Pro: Cricketer,1
Pro?t? Nurse,1
Proasder,1
Probate Court Clerk High Court of Justice England,1
Probate Court Government Clerk,1
Probate Official,1
Probation Member of Indian Civil Service,1
Probational Nurse,1
Probatione Nurse,1
Probationer Indian Civil Service,1
Probationer Irish Methodist Church,1
Probationer Maternity Nurse,1
Probationer Surgical Nurse,1
Probationer of the Presbyterian Church,1
"Probationer, Irish Presbyterian Church",1
Probationery nurse,1
Probatnes Nurse,1
Probbession Heard,1
Procers Block Maker,1
Process Officer,1
Process Officer and Domestic Server,1
Process Photographer,1
Process Photograpic Artist,1
Process Seaver,1
Process Server and Caretaker,1
Process Server and Farmer,1
Process Server and Farmer's Son,1
Process Worker,1
Processes,1
Procession Dealer,1
Processserver,1
Produce Dearlor,1
Produce Insurance Agent Wine,1
Produce Murchants Clerk,1
Producer Merchant Insurance agent and Secretry Building Society,1
Prof Carvers,1
Prof Cinging G. T. G. W,1
Prof Cookery and Laundry,1
Prof Cricketer,1
Prof Golfer,1
Prof Languages and Music,1
Prof Music,1
Prof Nurse,1
Prof Piantist,1
Prof Queens College of Greek,1
Prof of Anatomy University M B C M Glasgow F R C S Ireland,1
Prof of Commer Course,1
Prof of Languages,1
Prof of Mash and Lang,1
"Prof, Nurse",1
Prof. Nurse,1
"Prof. of Modern Languages Qudas M.Ph.D., D.Lit H.M.C.S.",1
Prof. of Music,1
Prof. of Music and Gelgorian Chant,1
Prof. of Natural Philosgraphy M.A.F.R.U.l. B.A. Aaon,1
Profesion Grocer,1
Profesion of Music,1
Profesional Singer,1
Profesional Whip,1
Profesioner Presby Church,1
Profess Mathematics at ?ury,1
Professe of Singing,1
Professed Cook,1
Professed Cook Domestic Servant,1
Professed Lay Sister,1
Professer Anatomy T C D M D L L D D l H F R S Edin St And Oxpro,1
Professer In Classier,1
Professer of Mathematics,1
Professer of Music Mas,1
Professer of Surgery and Pisson,1
Professinal Surveyors clerk staff for Engineer Services War Office and Dublin Castle,1
Profession Artist Model,1
Profession C. Clerk in Paper Shop,1
Profession Dealer,1
Profession Gardener,1
Profession Grocer or Shop Apprentice,1
Profession Non House Keeper,1
Profession Nurse,1
Profession Sailor,1
Profession of Medicine General Practitionce,1
Profession of Nurse,1
Profession of Vocul Music,1
Professional Artist Model,1
Professional Brewer,1
Professional Carvers,1
Professional Cricketer,1
Professional Dancing Master,1
Professional Farmer,1
Professional Golfe,1
Professional Harpist Professor of Music,1
Professional House Keeper,1
Professional Jockey,1
Professional Jocky,1
Professional Massion,1
Professional Musican,1
Professional Musician Member Incorporater Society of Music,1
Professional Musician Town Sub Postmaster,1
Professional Nurse Certificated Midwife,1
Professional Nurse Dm,1
Professional Nurse Domestic Servant,1
Professional Nurse Unemployed,1
Professional Nurse also Insurance Agent and Publisher's Agent,1
Professional Organist,1
Professional Paper Waiter,1
Professional Photographic Artist,1
Professional Pianist,1
Professional Prinist,1
Professional Queen's Nurse,1
Professional Singer Music Hall,1
Professional Spotsman,1
Professional Suiper,1
Professional Teacher of General Education,1
Professional Violinist,1
Professional cutcher,1
Professional in Opera House,1
Professionel Musican,1
Professionel Nurse,1
Professoner in College,1
Professonial Nurse,1
Professor B.A T.C.D,1
Professor B.A.R.U.S Languages and Mathematics,1
Professor BA. R.U.I,1
Professor Betreder Col,1
Professor Chemistry,1
Professor Classico and c Mathamatics,1
Professor Classics and R.C. Priest,1
Professor Classies and Marthan,1
Professor Eng and Mathems,1
Professor English Laber Greek French Mathematics and Civil Service Subjects,1
Professor Engsh and Maths,1
Professor F R U ?,1
Professor French,1
Professor German and A French and A.L.C.O.M,1
Professor Harmony,1
Professor Head,1
Professor Languages Mathematics,1
Professor Latin and English,1
Professor M.A. Languages,1
Professor Mashemaker,1
Professor Mathem and Science,1
Professor Mathematics and C B A,1
"Professor Mathematics and Physics M. A, DSc FIC",1
Professor Mathematis and Science,1
Professor Mathes M.A; R.U.I,1
Professor Modern Lang,1
Professor Modern Language Under Graduate,1
Professor Music and Organist,1
Professor Needlework,1
Professor Piano Singing,1
Professor R C Clergyman,1
Professor R H A,1
Professor Science,1
Professor Station and Spanish,1
Professor Undergraduate R U J,1
Professor Vanstom L. C Galway J.P.,1
Professor and Journalist,1
Professor and Literecture Fellow of Trinity College,1
Professor at Music,1
Professor in Seminary,1
Professor m.a,1
Professor of ? Trinity College,1
"Professor of ? from Queen's College Cork B.A, M.D and Ck Royal Univ Ireland Physician Surgeon and According",1
Professor of Ancient China B. A,1
Professor of Ancient Claims,1
Professor of Biblical Critisism,1
Professor of Botany,1
Professor of Celtic Member of Relion Order Priest,1
Professor of Chemistry Doctor of Science,1
Professor of Chemistry L R C S I F R C P I F I C,1
Professor of Chemistry Latths Coll Galway,1
Professor of Church History,1
Professor of Classic or Ancient and Modern,1
Professor of Classics B.A. R.U.I.,1
Professor of Classics Member of Religion Order Priest,1
Professor of Classics and English Literature in University College St Stephens Green Dublin,1
Professor of Classics and Maths Member of Religion Order,1
Professor of Classics and Modern Languages,1
Professor of Cookery N.B,1
Professor of D?tion,1
Professor of Dancing and C,1
Professor of Drawing,1
Professor of Drawing and Painting,1
Professor of Education Bachelor of Arts University of Dublin,1
Professor of Engineering,1
Professor of Engineering Queens College Belfast,1
Professor of England L.L.A St Andrews A.C.P. London,1
Professor of English ? I.D Royan university ?,1
Professor of English Language and Literature,1
Professor of English Literature Univ of Dublin,1
Professor of English Member of Religion Order Priest,1
Professor of English Mod Langs Member of Reliogion Order,1
Professor of English and French,1
Professor of English and Mod Langs Member of Religion Order,1
Professor of English and Modern Languages,1
"Professor of Ethics an Mothy's College, Belfast",1
Professor of Geology,1
Professor of Geology and Minerology Departt of Agriculture nt For Ireland,1
Professor of Greek and Latin,1
Professor of History,1
Professor of Irish House Keeper,1
Professor of Irish Language,1
Professor of Italian,1
Professor of Kindergarten,1
Professor of Languages and Commercial Traveller and Foreign Correspandent,1
Professor of Languages and Newsagent R I C,1
Professor of Latin French and English,1
Professor of Latin Queen's Coll,1
Professor of Literature,1
Professor of M A Philosophy,1
Professor of Mater and Physics and Ethics,1
"Professor of Mathamatics, Languages and Science B.A., R U I",1
Professor of Mathamaties,1
Professor of Mathematic,1
Professor of Mathematic Member of Religion Order Classics,1
Professor of Mathematical Science,1
Professor of Mathematics M.A. Lond Sc.D. Count,1
Professor of Mathematics Royle Coll. of Science M.A. Dept. of Agriculture and c,1
Professor of Mathematics and Eng. Literature,1
Professor of Mathematics and English Literature,1
Professor of Mathematics and French,1
Professor of Mathematics and Science B.A.,1
Professor of Mathmatics and Science,1
Professor of Maths MA,1
Professor of Mearn Languages M.A,1
Professor of Mental Science,1
Professor of Mental and Social Science Queen's College Cork Barrister at Law not in Practice,1
Professor of Merchants Journolist,1
Professor of Mod Langs Music Member of Religion Order,1
Professor of Mod Languages Member of Religion Order Priest,1
Professor of Modern Language,1
Professor of Modern Languages M.A.,1
Professor of Modern M.A. T.C.D. Language,1
"Professor of Music A Mus, Victoria College of Music London",1
Professor of Music Con,1
Professor of Music Etc,1
Professor of Music L Mus. L. I. M.,1
Professor of Music M.A.T.C.D,1
Professor of Music Organist and Teacher,1
Professor of Music Singing,1
"Professor of Music Trinity College, Dublin",1
Professor of Music Violinist,1
Professor of Music and Author,1
Professor of Music and Languages,1
Professor of Music and Organist,1
Professor of Music and Singing,1
Professor of Music and Violenist,1
Professor of Music mus ? T.C.D.,1
Professor of Music singing,1
Professor of National Philosophy,1
Professor of Oriental Languages at Trinity College Dublin,1
Professor of Park,1
Professor of Philosopher,1
Professor of Physics F. R. S.,1
Professor of Physiology,1
Professor of Physiology Medical Doctor,1
"Professor of Piano, Organ and Singing",1
Professor of Political Economy,1
Professor of Rere Mathematic,1
Professor of Sanskrit T.C.D.,1
Professor of Science,1
Professor of Shorthand Technical Instructor Teacher of Science and Art,1
"Professor of Shorthand, Journalist and Author Member of Institute of Journalist Member of Soc. of Authors Both Incorporated",1
Professor of Surgery,1
Professor of Surgery Dub.,1
Professor of Surgery; M.D.,1
Professor of Surging,1
Professor of Union,1
Professor of Vealin,1
Professor of Zoology and Comp. Anatomy T.C D. M.A.,1
Professor of annie,1
Professor of literature,1
Professor of mathameties and principal of Training College,1
"Professor, Eng and Card R.C. Priest",1
Professor. Mod. Lit,1
Proffesional Actor,1
Proffesional Cricket Teacher,1
Proffesional Horse Trainer,1
Proffesional Musician,1
Proffesor of Music,1
Proffess Cook,1
Proffessional Cook,1
Proffessional Cycler,1
Proffessional Huntsman,1
Proffessor of Engineering Queen's College Cork,1
Proffessor of Languages,1
Proffessor of Music Organist and C,1
Proffessor of Music Organist and Cho?master,1
Proffessor of Singing,1
Proffisonal,1
Proffosional Nurse,1
Proffssion,1
Profictured Billsticker,1
Profit Rent Owner,1
Profl. Massenr,1
Profr. Lannages,1
Profs Correspondent,1
Proist helper,1
Prommniss assit,1
Prommonger,1
Promtress,1
Proo Bank Clerk,1
Proof Reader in Cook Examiner,1
Proof Readr,1
Proof reader's Asst,1
Proofreader Newspaper,1
Proparty Owner,1
Proper,1
Proper Shopkeeper,1
Proper Twine Manufacturer,1
Properieter,1
Properietoress,1
Properioter,1
Propers Assistant,1
Propertiess Hotel,1
Property Assistant,1
Property Broker,1
Property Broker Rent and Insurance Agent,1
