occupationClaude,count
Process Server's Wife,2
Produce Agent,2
Produce Buyer,2
Produce Merchants Manager,2
Producer Merchant Assistant and Son,2
Prof of Mathem,2
Prof of Mathern,2
Profersional Nurse,2
Profesional Nurse,2
Professed Cook Parlourmaid Domestic Servants,2
Profession Mason,2
Profession of Music,2
Professional,2
Professional Actor,2
Professional Angler,2
Professional Fisherman,2
Professional Gardener,2
Professional Golfer,2
Professional Irish and Teacher,2
Professional Ladies Nurse,2
Professional Music,2
Professional Vocalist,2
Professionall Stage,2
Professor Dealer,2
Professor Language,2
Professor of Classic,2
Professor of Classics,2
Professor of Dancing,2
Professor of German,2
Professor of Greek,2
Professor of Language,2
Professor of Latin,2
Professor of Pianoforte,2
Proff of Music,2
Proffessional Golfer,2
Profr of Music,2
Property Defence Association Caretaker,2
Property etc,2
Proprietor of Boarding House,2
Proprietorers,2
Proprietoress,2
Proprietors Nephew,2
Proprietress of Dress Ware House,2
Proprietress of Laundry,2
Proscess Server,2
Prosivion Assistant,2
Prospeitor,2
Prostitute Not Attending School,2
Protestant,2
Prov Mercht,2
Prov Store Workers,2
Provisenont Shop Attendant,2
Provision Assistant Unemployed,2
Provision Buyer,2
Provision Commission Agent,2
Provision Cuier,2
Provision Dealer Assistant,2
Provision Hand,2
Provision Master,2
Provision Mcht,2
Provision Mer,2
Provision Merchant Messenger,2
Provision Merchant Wife,2
Provision Merchant and c,2
Provision Merlist,2
Provision Messenger,2
Provision Murchant,2
Provision Servant,2
Provision Shop Keeper and Farmer,2
Provision Shop Shop Keeper,2
Provision Shop assistant,2
Provision Smal Groser,2
Provision and Dairy Merchant,2
Provision and Grocer Merchant,2
Provision and Grocery,2
Provision and Wine Merchant,2
Provision assistant,2
Provisional,2
Provisions Assistant,2
Provisionstore,2
Provison Shop,2
Provission Merchant,2
Provsion Trade,2
Pt 1st Y.L. Inft,2
Pte R.A.M Corps,2
Pte York. L. Inft,2
Pubican,2
Pubilcans Son,2
Publian,2
Publians Shop Girl,2
Public Accountant and Auditor,2
Public Auditor,2
Public Business,2
Public Carter,2
Public House Shop Manager,2
Public House Waiter,2
Public House and Hotel Keeper,2
Public Lamplighter,2
Public Record Searcher,2
Public Road Making,2
Public Works,2
Public Writer,2
Public accountant,2
Public and Grocer,2
Public in Assistant,2
Publica,2
Publica and Grocer,2
Publican Asst,2
Publican Confectioner,2
Publican Family Grocer,2
Publican Farmer and Shop Keeper,2
Publican Grocer and C,2
Publican Hotel Keeper,2
Publican Messenger,2
Publican Shop Assistant,2
Publican Shop Keeper and Farmer,2
Publican Shop Keeping,2
Publican Sister,2
Publican U. D. C,2
Publican and Auctioner,2
Publican and Blacksmith,2
Publican and Car Owner,2
Publican and Carowner,2
Publican and Carpenter Master,2
Publican and Co,2
Publican and Contractor,2
Publican and Draper Shopkeeper,2
Publican and Dressmaker,2
Publican and Farmer Postmaster,2
Publican and Farmer Son,2
Publican and Farmers Wife,2
Publican and Framer,2
Publican and Grocer and Farmer,2
Publican and Postmistress,2
Publican and R.I.C Pensioner,2
Publican and Road Contractor,2
Publican and Spirit Merchant,2
Publican and Tailor,2
Publican and Towl Dealer,2
Publican of Farmer,2
Publican's Asst,2
"Publican, Farmer, Baker",2
Publicans Assistant Spirit Trade,2
Publicans Battler,2
Publicans Farmers Son,2
Publicans Messenger,2
Publicans Shop Man,2
Publicans Shopman,2
Publicas Daughter,2
Publice Business,2
Publick Works,2
Publickan and Farmer,2
Publickcan,2
Publisher's Assistant,2
Publishers Agent,2
Publishers Manager,2
Pullican,2
Pump Contractor,2
Pumpborer,2
Pupil Teacher N. S.,2
Pupil Teacher N.E.I,2
"Pupil, Teacher",2
Puple Teacher,2
Puplic Teacher,2
Pureveyor,2
Purveyers Assistant,2
Purveyers and Dairy,2
Purveyor's Porter,2
Purveyors Apprentice,2
Puryeyors Assistant Unemployed,2
Q Labour,2
Qerseer and Co Works,2
Qr Mr Sergt Royal Engineers,2
Qualified Seaman Class of the Royal Naval,2
Quarry Boy,2
Quarry Driller,2
Quarry Jett Maker,2
Quarry Laborer,2
Quarry Man and Farmer,2
Quarry Men,2
Quarry Mill Worker,2
Quarry Miner,2
Quarry Proprietor,2
Quarry Smith,2
Quarry Steward,2
Quarry Work,2
Quarry Worker,2
Quartermaster S.S. Tearaght,2
Quay Laborour,2
Quay Labourar,2
Quay Labourer in Linen Factory Worker Spreader,2
Quay Labrouer,2
Quay Ladour,2
Quay Scavenger,2
Quay Watch Man,2
Quay and River Watchman,2
Quays Labourer,2
Queen's Jeans Scholar,2
Queen's Scholar in Marlboro' T.C Dublin,2
Queens Jubilee Nurse,2
Quilter in Factory,2
Qurriers,2
R C Administrator,2
R C C,2
R C C Priest,2
R C Clergyman Cath Curate,2
R C Clergyman Catholic Curate,2
R C Priest P P,2
R C S T Medical Student,2
R Catholic Church Parish Priest,2
R Catholic Clergyman P.P.,2
R Catholic Curete,2
R G,2
R I C Barrack Servant,2
R I C Constable,2
R I C Constable's Daughter,2
R I C Constable's Wife,2
R I C Constables Wife,2
R I C Pensioner and Clerk,2
R I C Policeman,2
R I C Retired,2
R I C Sergeant's Son,2
R I C. Pensioners Daughter,2
R I Clergyman,2
R I Const Pensioner,2
R I Constabalary Pensioner,2
R I Constaby Pensioner,2
R I. Constabulary Pensioner,2
R I. Consty Pensioner,2
R I.C Pensioner,2
R I.C. Pensioner,2
R N R,2
R Navy Pensioner,2
R Porter,2
R Reeler,2
R Signalman,2
R W Station M,2
R. A. Postman,2
R. C,2
R. C. C,2
R. C. C.,2
R. Cath. Clergyman,2
R. Cath. Parish Priest,2
R. Catholic Priest Clergyman,2
R. I. C Pensioner and Farmer,2
R. I. C Pinsoner,2
R. I. C Retired,2
R. I. C. Consts Son,2
R. I. C. Pensioner and Caretaker,2
R. I. C. Police Pensioner,2
R.A Postman,2
R.A.Postman,2
R.C Administrator,2
R.C Curate,2
R.C. Administrator,2
R.C. Chaplain,2
R.C. Clegyman,2
R.C. Clergy Man,2
R.C. Clergyman C.C,2
R.C. Clergyman P.P.,2
R.C. Clergyman Professor,2
R.C.C.,2
R.C.Clergyman,2
R.E. on Survey,2
R.G.K Daughter,2
R.H. Scholar,2
R.I. Clergyman,2
R.I. Clergyman C C,2
R.I.C Const Wife,2
R.I.C Pensioner and Clerk,2
R.I.C Pensioner and Game Keeper,2
R.I.C Pensioners Wife,2
R.I.C Police Pensioner,2
R.I.C.,2
R.I.C. Cook,2
R.I.C. Pensioner and Publican,2
