occupationClaude,count
Ware House Employer,1
Ware House Folder Linen,1
Ware House Hand,1
Ware House Machinest,1
Ware House Machinist,1
Ware House Man ?,1
Ware House Man Hardware,1
Ware House Man Linen Trade,1
Ware House Man Trade Leather,1
Ware House Man boat Keeper,1
Ware House Man's Daughter,1
Ware House Messenger,1
Ware House Packer,1
Ware House Post,1
Ware House Salesman,1
Ware House Servant,1
Ware House Sticher,1
Ware House Worker Pocket Handkerchaf Folder,1
Ware Housemaid,1
Ware Houseman Drapery,1
Ware Houseman Linen Trade,1
Ware Housman,1
Ware Merchant Salesman,1
Ware No Occupation,1
Ware Packer,1
Ware Rom Smother,1
Ware Room Assistant,1
Ware Room Employee,1
Ware Room Employer,1
Ware Room Examiner of Work,1
Ware Room Folder,1
Ware Room Glaminer,1
Ware Room Machine Hand,1
Ware Room Measurer,1
Ware Room Message Boy,1
Ware Room Operative,1
Ware Room Porter,1
Ware Room Smother,1
Ware Room Tobacco,1
Ware Room Worker Linen,1
Ware Room in Share of Dining Room,1
Ware Rooms,1
Ware Shop,1
Ware Street Dealer Waress,1
Ware Vendor,1
Ware Winder,1
Ware Worker,1
Ware Worker House Servant,1
Ware home Worker,1
Ware house Linen Worker,1
Ware house man,1
Ware room Asst,1
Ware room Manager,1
Ware room Worker,1
Warehous Man,1
Warehous Smoother,1
Warehouse Accountant,1
Warehouse Apprentice Clerk,1
Warehouse Apprentice in Linen,1
Warehouse Asistant,1
Warehouse Assistant in Woollen Mill,1
Warehouse Attend,1
Warehouse Attends,1
Warehouse Book Keeper,1
Warehouse Caretaker,1
Warehouse Clark,1
Warehouse Cleaner,1
Warehouse Clerk Paper,1
Warehouse Clerkess,1
Warehouse Cloth Folder,1
Warehouse Crisper,1
Warehouse Draper,1
Warehouse Employer,1
Warehouse Examiner,1
Warehouse Firewoman,1
Warehouse Folder,1
Warehouse Foreman Grocery,1
Warehouse Girl Hand Kerchief Folder,1
Warehouse Girl Hemstitcher,1
Warehouse Girl Linen Ornamenter,1
Warehouse Girl Pottery,1
Warehouse Gul Linen,1
Warehouse Handkerchif Dept,1
Warehouse Handkerchif Dpt,1
Warehouse Hanor,1
Warehouse Keeper,1
Warehouse Laborer,1
Warehouse Laundress,1
Warehouse Linen,1
Warehouse Linen Manager,1
Warehouse Machenst,1
Warehouse Machinst,1
Warehouse Maid Drapery,1
Warehouse Man Cloth Maker,1
Warehouse Man Confectionary,1
Warehouse Man DPY,1
Warehouse Man Dress Goods Buyer,1
Warehouse Man Linen Trade,1
Warehouse Man Shirt Factory,1
Warehouse Man Wholesale Hosiery,1
Warehouse Man in Handkerchief House,1
Warehouse Man in a Yarn Store,1
"Warehouse Man, Drapery",1
Warehouse Manager Wholesale Millinery,1
Warehouse Messenger Unemployed,1
Warehouse Napkins Examenir,1
Warehouse Orter in Destilliry,1
Warehouse Overseer,1
Warehouse Painter,1
Warehouse Parker,1
Warehouse Parter,1
Warehouse Patent Turner,1
Warehouse Path,1
"Warehouse Rolling Machine, Unemployed",1
Warehouse Servant,1
Warehouse Sticcher,1
Warehouse Sticker,1
Warehouse Stockkeeper,1
Warehouse Storeman,1
Warehouse Superintendant Builders Ironmongy,1
Warehouse Time Keeper,1
Warehouse Trade,1
Warehouse Washer Woman,1
Warehouse Worke,1
Warehouse Worker Boxfolder,1
Warehouse Worker Examiner Tiner,1
"Warehouse, Manager",1
Warehousekeeper,1
Warehousemaid,1
Warehousemaker and Jeweller,1
Warehouseman Assistant Cotton Manufacturers and Calico Printers,1
Warehouseman Carpet,1
Warehouseman Confectionary,1
Warehouseman Drapers Dress Buyer,1
Warehouseman Goods Fancy,1
Warehouseman Halian,1
Warehouseman Handkerchief,1
Warehouseman Handkerchief Manfty,1
Warehouseman Hkf Manufacture,1
Warehouseman Linen and Carter Grocer,1
Warehouseman Manager,1
Warehouseman Shirt Factory,1
Warehouseman Woollen Tweed Dhall,1
Warehouseman and Caretaker,1
Warehouseman and Insurance Agent,1
Warehouseman for Workhouse,1
Warehouseman in Belfast Rope ? Store,1
Warehouseman in Bleach and Dye Works,1
Warehouseman in Drapery,1
Warehouseman in Linen Business,1
Warehouseman in Sear. Store,1
"Warehouseman, Hankerchief Factory",1
"Warehouseman, Shirt and Coller Factory",1
Warehousemans Assistant,1
Warehousewoman,1
Warehoushman,1
Warehousman,1
Warehousman Linen Trade,1
Warehouss Porter,1
Wareman,1
Warer Linen,1
Warerom,1
Warerom Girl,1
Warerom Keeper,1
Warerom keeper,1
Wareroom Apprentice,1
Wareroom Assisant,1
Wareroom Assistant Costumes,1
Wareroom Attendant,1
Wareroom Block Printer,1
Wareroom Box Folder,1
Wareroom Boy in a Kets,1
Wareroom Clark,1
Wareroom Clerk Linen,1
Wareroom Clerkers,1
Wareroom Clipper,1
Wareroom Cuff Inspector,1
Wareroom Designer,1
Wareroom Despatch Clerk,1
Wareroom Enginer,1
Wareroom Finisher,1
Wareroom Fore Woman,1
Wareroom Girl in Furniture Shop,1
Wareroom Lady Clerk,1
Wareroom Land Trouser Finisher,1
Wareroom Linen,1
Wareroom Message Girl,1
Wareroom Messanger,1
Wareroom Messenger,1
Wareroom Pinafore Stitchers,1
Wareroom Preparer,1
Wareroom Sales,1
Wareroom Seamstres,1
Wareroom Smother,1
Wareroom Sticher,1
Wareroom Stichers,1
Wareroom Thread Drawer,1
Wareroom Turner Out,1
Wareroom Turner Out in,1
Wareroom Vice Folder,1
Wareroom Worker Sorter,1
Wareroom Worker Stitcher,1
Wareroom assistant,1
Wareroom in Linen and Cambric,1
Wareroom man,1
"Wareroom, Patent Turner",1
Wareroom:Worker,1
Warerooman,1
Wareroome Worker,1
Wareroomhand,1
Wareroomkeeper,1
Warerooms,1
Wareroon Smoother,1
Waresman,1
Warhouse Assistant,1
Warhouse Girl,1
Warhouse Man,1
Warhouseman,1
Warhouseman Drapry,1
Waring Engineering in Portal Telegraph Service,1
Wark Winder,1
Wark on Farm,1
Warker in Linen Yar Factory,1
Warkman,1
Warkmistress in Nat. School,1
Warmonger,1
Warmroom,1
Warp Drawer,1
Warp Dresser,1
Warp Linen Winder,1
Warp Veiner,1
Warp Winder Linen,1
Warp Winder in Bessbrook Spin Mill,1
Warp Winder in Flax Mill,1
Warp Winder in Linnen Factory,1
Warp Winding,1
Warp Winner in Linen Factory,1
Warp Winning,1
Warp in Fier,1
Warp winder in Linen Factory,1
Warper Cotten,1
Warper L,1
Warper Linen Wareroom,1
Warper Mill,1
Warper Power Loom,1
Warper Weaver,1
Warper Wollen Mill,1
Warper Wool,1
Warper Woolen,1
Warper Wooll,1
Warper Woollen Factory,1
Warper Yarn in Mill,1
Warper in Linen Mill,1
Warper in Weaving Factory,1
Warper in Wool Mill,1
Warper in Woolen Factory,1
Warper in Woollen Factory,1
Warper in Woollen Mill,1
Warper of Yarn,1
Warper's Wife,1
"Warper, Linen Factory",1
Warping,1
Warping and Winding Master,1
Warps,1
Warpwinder,1
Warpwinder for Linen Dairy Fac,1
Warrant Officer,1
Warrant Officer Army,1
Warrant Officer Army Schools,1
Warrant Officer Limerick City Garrison Artillery Active Service,1
Warrant Officer R N,1
Warrant Officer Royal Navy Retired,1
Warrent Officer Royal Active,1
Warron Keeper,1
Warsher Woman,1
Warship Broker and Owner,1
Warsted Spinner,1
Warter in Machine Room,1
Warton Farm,1
Wartress,1
Warts Winder,1
Warver,1
Was Agricultural Labourer,1
Was Colah No Business,1
Was Farm Servant,1
Was Farmer,1
Was Farmers Assistant,1
Was General Labourer,1
Was Labourer Wife,1
Was Servant,1
Was Tailor,1
Was Womman,1
Was a Domestic Servant Living on Money Earned in America,1
Was a General Svrt,1
Was a Linen Weaver,1
Waser,1
Wash Boy,1
Wash Car Driver,1
Wash Car Owner,1
Wash Foreman,1
Wash Houseman,1
Wash Maid in Union,1
Wash Man in Factory,1
Wash Man in Laundry,1
Wash Man in a Laundry,1
Wash Mill Man,1
Wash Mill Worker,1
Wash Millman,1
Wash Roman,1
Wash Room,1
Wash Servant,1
Wash Winder,1
Wash Woam,1
Wash Wom,1
Wash Woman D.S.,1
Wash Woman and Seamstress,1
Wash Woman in Factory,1
Wash Wooman,1
Wash in Landry,1
Washeman,1
Washer D. Servant,1
Washer Dyer,1
Washer Laundary,1
Washer Man,1
Washer Painter,1
Washer S Domestic,1
Washer Womaman,1
Washer Woman D S,1
Washer Woman Domestic Svt,1
Washer Woman Laundress,1
Washer Woman Worker,1
Washer Woman at Laundry,1
Washer Women Domestic Serv.,1
Washer Women Domestic Servant,1
Washer Womman,1
Washer and Sewer,1
Washer at Bleachworks,1
Washer at Home,1
Washer but not Able,1
Washer in Bleach Linen Green,1
Washer in Bleach Works,1
Washer in Factory,1
Washer in Laundress,1
Washer in Laundy,1
Washer in Mill,1
Washer in S Laundry,1
Washer in Turkish Baths,1
Washer in Ware Room,1
Washer in Warehouse,1
Washer of Cambric,1
Washer or Blech Work,1
Washere Woman,1
Washerman Laundry,1
Washermoman,1
Washern Woman,1
Washerowoman,1
Washers Domestic Servt,1
Washers General Domestic Servant,1
Washerwom Domestic Servant,1
Washerwoman Assistant,1
Washerwoman Chare Woman,1
Washerwoman Co,1
Washerwoman Cy Ray,1
Washerwoman Dtic,1
Washerwoman House Keeper,1
Washerwoman Labourer,1
Washerwoman Laundry,1
Washerwoman Retd,1
Washerwoman Shop,1
Washerwoman Unable to Works Supported by Outdoor Relief,1
Washerwoman Unemployed,1
Washerwoman Was a,1
Washerwoman and Charwoman,1
Washerwoman and Harvester,1
Washerwoman in Factory,1
Washerwoman's Daughter,1
Washerwomans Daughter,1
Washerwouman,1
Washgare Woman,1
Washhouse Labourer Flax Preparer in Spinning Mill,1
Washing Biscuit Baker,1
Washing Charwoman,1
Washing Clothes,1
Washing Clothes in public,1
Washing General,1
Washing Girl,1
Washing Machine Fitter,1
Washing Servant,1
Washing Workers,1
Washing Yarn in Factory,1
Washing at Home,1
Washing at School,1
Washing from Home,1
Washing in Convent,1
Washing in Workhouse,1
