occupationClaude,count
Carewoman House Wife,1
Carfectioner,1
Carfringer,1
Cargman,1
Cargo Superented,1
Cargo Superintendent,1
Cargs Superintendent,1
Carhedral Beadle Caretaker of Lappo Asylum,1
Cariage Trimming,1
Cariear or Dragman,1
Carier Employer,1
Carier and Farmer,1
Caring,1
Caring Cattle,1
Caring Children,1
Caring Her Children,1
Caring Pigs,1
Caring a Lodge,1
Carinspector,1
Caris and Fine Arts Dealer,1
Cark Agent,1
Cark in Bakery,1
Carke Cutter,1
Carke General,1
Carkel Senier,1
Carker Unemployed,1
Carlar,1
Carlice Qulfitter,1
Carlpenter,1
Carmack Commerical Trade,1
Carmaid,1
Carmalite Parklant,1
Carman Agricultural Labourer,1
Carman Carter,1
Carman D. Servt,1
Carman Dc. Servt,1
Carman Domestic Sert,1
Carman Hack Cardriver,1
Carman Hockney,1
Carman Jarvey,1
Carman Labouer,1
Carman Labour,1
Carman Out of Employment,1
Carman Retired,1
Carman Unemploud,1
Carman Unemployed at Present,1
Carman Wife,1
Carman and Agr. Labourer,1
Carman and Car Owner,1
Carman and Cartier,1
Carman and Driver,1
Carman and Farm Labourer,1
Carman and Forage Dealer,1
Carman and Labourer,1
Carman and Publican,1
Carman at Docks,1
Carman in Brewary,1
Carman in Butter Trade,1
Carman in Soap Works,1
Carman labourer,1
Carman to Coal Merchant,1
"Carman, Labourer",1
Carmar Hackney,1
Carmels Maker,1
Carn Agent,1
Carn Broker,1
Carn Labourer,1
Carnage Trimmer,1
Carnar,1
Carnarvon for Sewing Machine or Master,1
Carner,1
Carness Maker,1
Carning Blacksmith,1
Carning Civil Service,1
Carning Dressmaking,1
Carning Letters at Home,1
Carning Shoe Making,1
Carning Trade Shoemaker,1
Carnnieen,1
Caroder,1
Caron and Gilder,1
Caroner,1
Carowener,1
Carowner and Farmer,1
Carp Daughter,1
Carp Wife,1
Carpaenter,1
Carpainter Farmer,1
Carpainter and Builder,1
Carpander,1
Carpantar,1
Carpantar on Sterk,1
Carpanter House,1
Carpanter Master,1
Carpanter Master Unemployed,1
Carpanter at Works,1
Carpanters Wife,1
Carpantor,1
Carparation Clerk,1
Carparenter,1
Carparinter,1
Carpcenter,1
Carpeenter,1
Carpenar Unemployed,1
Carpender Master,1
Carpender not Employed,1
Carpender on Strike,1
Carpendter,1
Carpener Apprentice,1
Carpent,1
Carpent and Joiner,1
Carpentair Journeyman,1
Carpentar Apprentice,1
Carpentar and Joiner,1
Carpentar and Mason,1
Carpentar and Publican,1
Carpentar and c,1
Carpentar's Apprentice,1
Carpentars,1
Carpentder's Son,1
Carpente's Apprentice,1
Carpentear,1
Carpented,1
Carpentenary Joiner,1
Carpenter ?ner,1
Carpenter A,1
Carpenter Appre.,1
Carpenter Apprent,1
Carpenter Apprentic,1
Carpenter Apprentice Coach,1
Carpenter Apprentice Domestic,1
Carpenter Apprentice Unemployed,1
Carpenter Apprenticed,1
Carpenter Apprenties,1
Carpenter Apprine,1
