occupationClaude,count
Sergent,1
Sergent Orderly Room Clerk R. G. A.,1
Sergent Pensioner Army Unemployed,1
Sergent R. I. Constabulory,1
Sergent R.I.Constabulary,1
Sergent of R I Constabulary,1
Sergeon,1
Serger Machine Agent,1
Serger Mfc Agent,1
Sergiant Major Royal Army Medical Corps,1
Sergion and Physician,1
Sergt,1
Sergt 10th R I F Res,1
Sergt 12th Lancers,1
Sergt 14th Hussars,1
Sergt 17th Lanner,1
Sergt 1st Leuister Regt,1
Sergt 1st Rifle Dragas,1
Sergt 1st Y.L. Inft,1
Sergt 2 Thorf Reg Mirat,1
Sergt 21st E of I Lancer,1
Sergt 21st Lancer,1
Sergt 21st Lancers,1
Sergt 27th ?,1
Sergt 3rd Bt. R.I.R. Soldier,1
Sergt 4 R Irish Fars,1
Sergt 4th the Kings Spool Regd,1
Sergt 5/Conn Rangrs,1
Sergt 51 Conn Rangers,1
Sergt 6 Bt.R.Brigade,1
Sergt Antrim Artillery,1
Sergt Army,1
Sergt Army Pay Corps,1
Sergt Army Pensinor Yardman,1
Sergt Army Pensr,1
Sergt B Foot Army Pensinoner,1
Sergt B S A Police S Asst,1
Sergt Band 21st Launs,1
Sergt Connaught Range,1
Sergt D M P,1
Sergt Dr of The King's Spool Regt,1
Sergt Drummer. P.S Innes Relling P,1
Sergt Durham L.I,1
Sergt Far Cavalry on F H,1
Sergt Gn Artillery,1
Sergt Gnl Labourer,1
Sergt Infantry of the Civil,1
Sergt Infantry of the Line,1
Sergt Inst in Muskerry,1
Sergt Instr of Musketry 9th Kings Royal Refles Militer,1
Sergt Instructor Musketry,1
Sergt Insures Kelley Fusilier Army Pensioner,1
Sergt Iptr R. G. Arty,1
Sergt Limerick City Arty,1
Sergt Lorth Lane Regt,1
Sergt Major 3/R I. Fus,1
Sergt Major Imperial Geomanry Active List,1
Sergt Major Jamacia Police,1
Sergt Major Militia,1
Sergt Major Pensioner,1
Sergt Major R. F. A,1
Sergt Major Royal Army Medical Corpn,1
Sergt Major Royal Artillery,1
Sergt Major W T O Foreman of Works Royal Engineers,1
Sergt Maker City Artillery Limerick,1
Sergt Mayer Pensioner,1
Sergt Middle Sex Maf,1
Sergt Military,1
Sergt Norfock Reqt,1
Sergt Oranance Dept Soldier India,1
Sergt Ord Core,1
Sergt P. S. W. A,1
Sergt Pensioner 27 Regt Mongle 27 Rd Coffee Bar,1
Sergt Pensioner 45th Fort,1
Sergt Pensioner Army,1
Sergt Pensioner British Army,1
Sergt Pensioner Cape Minister Police,1
Sergt Pensioner Clerk Infantry,1
Sergt Pensioner Commercial Traveller,1
Sergt Pensioner From the R I C,1
Sergt Pensioner Infantry,1
Sergt Pensioner R A,1
Sergt Pensioner R.I.C,1
Sergt Pensioner R.I.C and Farmer,1
"Sergt Pensioner and Oxford Gateman Whiteabbey Is, Co",1
Sergt R F.A,1
Sergt R G Arty,1
Sergt R G B,1
Sergt R I C Retired,1
Sergt R I C Superannuated,1
Sergt R I Const,1
Sergt R I Constably,1
Sergt R I Constably Superannuated,1
Sergt R I Constabney,1
Sergt R I Constabulay,1
Sergt R I Constabulery,1
Sergt R I Constaby Supeanuated,1
Sergt R I Constby,1
Sergt R I Cost,1
Sergt R I Rifles,1
Sergt R I. Constaby,1
Sergt R I.C.,1
Sergt R J Constabulary,1
Sergt R J Constby,1
Sergt R M Fies,1
Sergt R S C Retired,1
Sergt R and Constabulary,1
Sergt R. I Constabulary,1
Sergt R. I. Const'y,1
Sergt R. I. Constabular,1
Sergt R. I. Constby,1
Sergt R. I. Consty,1
Sergt R.G.A. Soldier,1
Sergt R.I. Constaby,1
Sergt R.I. Constaby Superanuated,1
Sergt R.I. Constby,1
Sergt R.I. Rifles Soldier,1
Sergt R.I.C Superanunated and Grocer and Publican,1
Sergt R.I.C. Barrack,1
Sergt R.I.C. Retired,1
Sergt R.I.C. Superannated,1
Sergt R.I.C. Superannuated,1
Sergt R.I.C. Supert,1
Sergt R.I.Constabulary,1
Sergt R.I.Constby,1
Sergt R.I.F Infantory,1
Sergt R.J.C,1
Sergt RIC Wife House Keeper,1
Sergt RIConstabalary,1
Sergt Regular Army Retired,1
Sergt Ret in U.S.M.C,1
Sergt Rgn Waterford Arty,1
Sergt Rgt Inng Fus Cact?,1
Sergt Ric,1
Sergt Rl Govr Res Regt,1
Sergt Roy Eng,1
Sergt Royal Arley,1
Sergt Royal Irish Rifles,1
Sergt Royal Reserve on Furlough,1
Sergt St Consty,1
Sergt Staff R I R Soldier,1
Sergt Tailor,1
Sergt Tptr,1
Sergt Trampete Royal Artiler,1
Sergt West Riding Regt,1
Sergt Wicklow Artillery Millita,1
Sergt Wife R.I.C,1
Sergt York Regt,1
Sergt Yorks Regt,1
Sergt and R.I. Rifles,1
Sergt at Mace,1
Sergt at Marr Town Hall,1
Sergt at R. J Regt,1
Sergt in D M Police,1
Sergt in Infantry Army Pensioner,1
Sergt in Liverpool,1
Sergt in R I Constabulary,1
Sergt in the R.I.C,1
Sergt of Infantry,1
Sergt of R I C,1
Sergt of R I Constabulary,1
Sergt of R. I. Rifles,1
Sergt of R.I. Consty,1
Sergt of The Kings Spool Regt,1
Sergt's Wife,1
"Sergt, D. M. Police",1
"Sergt, R.I.C. Retired",1
Sergt. Army Pensioner,1
Sergt. Army Pensioner Infantry,1
Sergt. Cape Police,1
Sergt. Con. Kangers,1
Sergt. D. M. Police,1
Sergt. D.M.O.,1
Sergt. Major 5th R. Irish,1
Sergt. Paiknter Regd H.M.S,1
Sergt. Pensioner 89th Foot,1
Sergt. Pensioner R.F.A,1
Sergt. R I. Constabulory,1
Sergt. R. I. C,1
Sergt. R. I. C. Pensioned Game Keeper,1
Sergt. R. I. Consty,1
Sergt. R. I. Consty Pensioner Farmer and Joiner,1
Sergt. R.I Consty,1
Sergt. R.I. Constaby,1
Sergt. R.I. Consty.,1
Sergt. R.I.C Constabulary,1
Sergt. R.I.Consty,1
Sergt. R.I.Consty on Pensioner,1
Sergt. Rl. Engineers,1
Sergt. Roy. In. Rifles,1
Sergt. Royal Constabulary Pensioner,1
Sergt. Royal Engineers,1
Sergt. Tyrone Militia,1
Sergt. in Army Carpenter,1
Sergt. of R.I.C.,1
Sergt. of Roy Dub Fusrs.,1
Sergt.R.I.Constabulary,1
Sergt: Royal Parrison Arty,1
Sergts Daughter,1
Sergts Son R. I. C,1
Sergts Son R.I.C,1
Sergts Wife 5th Lineter Sergt,1
Sergts Wife House Keeper,1
Serinener,1
Serior Income from Dividends,1
