occupationClaude,count
Monstress in School,1
Monter,1
Monthly and Sick Nurse,1
Months Maker,1
Montioress,1
Montitress,1
Montoress,1
Montress,1
Montress in Covent at NS,1
Monttely Nurse Domestic Servant,1
Monttress,1
Monument Labourer,1
Monumental Builder and Sculptor Stone and Marble Works,1
Monumental Pensioner Master,1
Monumental Polisher,1
Monumental Sculftor,1
Monumental Sculpter,1
Monumental Stone Cutter,1
Monumental Stone Sculptor,1
Mony Divident,1
Mony from War Office,1
Moonie from Land,1
Mooter Capenter,1
Moover in Ropework,1
Moravian Missionery,1
Morble Mason,1
Morision Dealer and Farmer,1
Moristress,1
Morning at Home,1
Mornitor in N S,1
Morocco Dresser Unemployed,1
Mortgage and Dividends,1
Mortgagee,1
Mortgager and Dividend Holder,1
Mortising Machinist,1
Mortorman,1
Mortragae,1
Mortuary Ports,1
Mosher,1
Moshers Help,1
Mosiac Artist,1
Moster,1
Moster Painter and Decorator,1
Moster Smith,1
Mosts Carpenter,1
Motar man D U T C,1
Motarman,1
Motarman D U T C,1
Moter Man Tram Driver,1
Moterer,1
Moterman D U I Co,1
Mothe,1
Mother Family,1
Mother Helper,1
Mother Helps,1
Mother House Keeper,1
Mother Man,1
Mother Private,1
Mother Superioress,1
Mother Wife,1
Mother and Head of Family,1
Mother and Housekeeper,1
Mother at Home,1
Mother in Family,1
Mother in Law to Head of Family,1
Mother of Ad Fk Weir,1
Mother of Family and C.,1
Mother of Fmly,1
Mother of Fmly and Hous Keeper,1
Mother of Fmly and House Keeper,1
Mother of Fmy,1
Mother of Head,1
Mother of House,1
Mother of Philip Gough,1
Mother of a Carter,1
Mother of above,1
Mother of family,1
Mother of the Family,1
Mother of the House,1
Mother to Alone,1
Mother to Family no employment,1
Mother to Hd of Family,1
Mother to Head Family,1
Mother to Head f,1
Mother to Hed of Family,1
Mother's Asst House keeper,1
Mother's Help Domestic Servant,1
Mother's Help General Domestic Servant,1
Mother's Help Seamstrer,1
Mother's Help Servant,1
Mother's Help and Governess,1
Mother's Help at Home,1
Mother's Help in House,1
Mother's assistant,1
Mother's help,1
Motherinlaw to Hd. of Family,1
Mothers Family,1
Mothers Helf Domestic Servant,1
Mothers Help D.S,1
Mothers Helps D.S.,1
Mothers Hill,1
Mothers Pet,1
Mothors Help,1
Mothr Help,1
Motion of Workhouse,1
Moto Driver,1
Motoman,1
Motor Car Driver,1
Motor Car Fitter,1
Motor Car Man and Gardener,1
Motor Car Manufacturer,1
Motor Driver Tramway,1
Motor Driver Unemployed,1
Motor Engine Driver,1
Motor Man D U I Corp,1
Motor Man D U T,1
Motor Man D U Y,1
Motor Man D. U. I. C.,1
Motor Man DUTC,1
Motor Man Duty,1
Motor Man Electric Trams,1
Motor Man Tram,1
Motor Man and Frame,1
Motor Man for Tram Co. Dublin,1
Motor Mans Wife,1
Motor Tester,1
Motor Tram Driver,1
Motor Winder,1
Motorman Co D W Tram,1
Motorman D U T Co,1
Motorman D. U. T. Co,1
Motorman D.U.I. Co,1
Motorman Electric Tram Car,1
Motorman on Tram Car,1
Motorman on Tramway,1
Motron of Evans Asylum,1
Mottress Maker,1
Moular,1
Mould Maker Pottery,1
Moulder 'Iron',1
Moulder Appren,1
Moulder Brassfounder,1
Moulder Foundry,1
Moulder Iron Work,1
Moulder Iron Works Unemployed,1
Moulder Iron Works in Foundry,1
Moulder Iron and Bross,1
Moulder Iron work,1
Moulder Laborer,1
Moulder Wood,1
Moulder and Metalcaster,1
Moulder and Soldier,1
Moulder at Shamer and Foundry,1
Moulder in Found,1
Moulder in Foundary,1
Moulder in Foundery,1
Moulder in Iron Factory,1
Moulder in Iron Work,1
Moulder in Ironfounder,1
Moulder in Shipyard,1
Moulder of Figures,1
Moulder of Iron,1
Moulder of Metal,1
Moulder of Mitals,1
Moulder's Labourer,1
Moulderess Labourer,1
Moulders Laborer,1
Mouldig Machanic Boat Woker,1
Moulding Machinist,1
Moulding apprentice,1
Mounmental Engraver,1
Mountain Herd,1
Mounted Const R.I.C,1
Mounted Rural Postman,1
Mounted Sergt R I C,1
Mounted Sergt R I Consty,1
Mounter in Hoisery Factory,1
Mounter in Linen Factory,1
Mounters Labourer,1
Mountin Sewer,1
Mountress,1
Mountress in Shod,1
Mounty Cards,1
Mourble Polisher,1
Mouss,1
Mouth Maker,1
Mr Gr Wr Railway Watchman,1
Mraine Stoker,1
Mrk Gardener,1
Mrs Garrett,1
Mrs Pensioner,1
Mrs Steen,1
Mrs Wife,1
Mrs of Family and c,1
Mrs of Farmer,1
Mrs of Same,1
Mrs. Boh. B C W. J.C.D General Practitioner,1
Ms,1
Ms Cooper,1
Ms. Ret. Officer in Army,1
Mster Man,1
Muanttle Clerk,1
Muchacion,1
Muciceher,1
Mud Groom,1
Muesicion,1
Muisc Domestic Servant,1
Muisican,1
Mulder,1
Mullener,1
Muller in Cannon Works,1
Mulliner and Sales,1
Mulster,1
